DAY,TMAX,TMIN,TEMP,IRRAD,RAIN,WIND,VAP,SNOWDEPTH
2000-01-01,13.62,2.04,5.4,11430.0,0.0,1.46,0.7817580924843126,-999
2000-01-02,13.75,2.06,6.72,10960.0,0.0,1.39,0.7470775464503866,-999
2000-01-03,13.4,2.83,7.44,11240.0,0.0,1.06,0.9514182103933012,-999
2000-01-04,12.54,6.68,9.26,5660.0,0.0,1.36,1.1566197870926747,-999
2000-01-05,12.21,6.81,8.92,6030.0,0.001,1.12,1.0800971266534045,-999
2000-01-06,7.4,1.48,4.86,3030.0,0.119,1.4,0.7470775464503866,-999
2000-01-07,6.23,-0.75,2.08,3170.0,0.099,1.8,0.5880678800796711,-999
2000-01-08,5.84,-0.77,1.84,4550.0,0.015,1.1,0.636146437605938,-999
2000-01-09,7.55,0.22,3.41,5620.0,0.024,1.11,0.6986026791717823,-999
2000-01-10,6.91,1.52,3.48,3040.0,0.12,2.13,0.713762361195742,-999
2000-01-11,7.33,1.81,4.12,3500.0,0.223,0.97,0.7349501812452433,-999
2000-01-12,4.95,-0.94,2.06,3010.0,0.009,1.6,0.6338461651799894,-999
2000-01-13,6.65,-1.66,1.44,4910.0,0.003,1.97,0.5786779295052928,-999
2000-01-14,3.19,-2.21,0.02,3570.0,0.11399999999999999,2.5,0.5293651362920465,-999
2000-01-15,4.36,-2.67,0.13,5210.0,0.026000000000000002,1.4,0.530933857949867,-999
2000-01-16,2.81,-2.85,-0.63,3400.0,0.093,1.26,0.4980976262566106,-999
2000-01-17,4.58,-3.14,-0.02,8020.0,0.011,0.64,0.48962647905903567,-999
2000-01-18,8.28,-2.54,1.81,11950.0,0.0,1.55,0.4848950979144516,-999
2000-01-19,5.03,-4.35,-0.13,9730.0,0.0,2.16,0.4289153755028653,-999
2000-01-20,3.26,-4.7,-1.3,6190.0,0.585,2.27,0.4334877060882171,-999
2000-01-21,1.3,-3.74,-1.87,3380.0,0.6,2.37,0.4769803426643932,-999
2000-01-22,2.68,-3.47,-0.66,5660.0,0.497,1.14,0.534873678218459,-999
2000-01-23,3.03,-1.82,0.08,4130.0,0.921,1.01,0.5727717891898538,-999
2000-01-24,1.6,-6.45,-2.16,4330.0,0.493,0.96,0.4594163959966603,-999
2000-01-25,0.69,-7.89,-4.21,6790.0,0.027000000000000003,1.29,0.3749742196166914,-999
2000-01-26,2.18,-6.8,-3.21,10350.0,0.002,0.98,0.38430877715852385,-999
2000-01-27,0.84,-5.59,-3.38,5380.0,0.014000000000000002,1.93,0.3902470302415128,-999
2000-01-28,-0.16,-5.61,-3.38,5830.0,0.024,1.5,0.3902470302415128,-999
2000-01-29,4.23,-4.86,-0.68,9140.0,0.001,1.19,0.4511911347544638,-999
2000-01-30,1.56,-4.11,-1.42,7110.0,0.254,1.77,0.39054606796872016,-999
2000-01-31,-0.98,-7.34,-4.23,9350.0,0.146,2.28,0.3322881286936207,-999
2000-02-01,0.55,-8.95,-4.73,9560.0,0.018,1.99,0.34226755099838807,-999
2000-02-02,0.65,-6.48,-3.24,7200.0,0.068,1.44,0.40083507609533947,-999
2000-02-03,1.78,-5.55,-2.2,5180.0,0.011,1.67,0.4501722089163695,-999
2000-02-04,3.3,-3.61,-0.67,4440.0,0.027000000000000003,0.81,0.4784108188073768,-999
2000-02-05,7.6,-3.17,1.42,11000.0,0.002,0.82,0.518114065695736,-999
2000-02-06,9.42,-1.25,3.26,14390.0,0.0,0.81,0.5200386680181538,-999
2000-02-07,10.59,-2.61,3.3,12930.0,0.0,1.23,0.46462439831149493,-999
2000-02-08,6.69,-3.14,0.91,9370.0,0.0,1.59,0.460800114032025,-999
2000-02-09,6.01,-3.32,0.77,6970.0,0.0,1.52,0.46882839177300156,-999
2000-02-10,10.19,-2.52,3.49,12550.0,0.0,0.91,0.6242651068705792,-999
2000-02-11,13.09,-0.02,5.27,11330.0,0.0,1.27,0.7380969644795426,-999
2000-02-12,11.92,1.76,5.95,7780.0,0.009,1.16,0.8190029759651498,-999
2000-02-13,12.97,4.1,8.02,4780.0,0.145,1.1,0.9158644183128886,-999
2000-02-14,9.93,3.05,5.98,4070.0000000000005,0.096,0.86,0.6759099762351599,-999
2000-02-15,9.07,0.3,4.3,8350.0,0.01,1.49,0.5829295193143046,-999
2000-02-16,10.4,-0.74,3.89,9740.0,0.004,1.21,0.6533990429843404,-999
