DAY,TMAX,TMIN,TEMP,IRRAD,RAIN,WIND,VAP,SNOWDEPTH
2023-12-01,6.84,-0.39,3.02,2860.0,0.041999999999999996,1.34,0.6657685976551904,-999
2023-12-02,10.87,0.97,5.58,4420.0,0.034,0.88,0.7912056469972419,-999
2023-12-03,10.51,4.53,6.78,3750.0,0.151,0.92,0.8821016612281865,-999
2023-12-04,14.04,4.24,7.58,7680.0,0.007000000000000001,1.77,0.9190474646654614,-999
2023-12-05,15.19,2.51,8.18,8920.0,0.13799999999999998,1.12,0.9133249814716131,-999
2023-12-06,15.83,3.39,8.61,10300.0,0.0,1.71,0.7928832801390937,-999
2023-12-07,16.12,1.04,7.97,10910.0,0.0,1.36,0.7707708937549812,-999
2023-12-08,15.65,6.34,10.82,6470.0,0.027000000000000003,1.0,0.9773605873850478,-999
2023-12-09,17.68,7.01,11.77,7400.0,0.092,1.04,1.2067313769221037,-999
2023-12-10,14.71,7.68,10.98,1670.0,1.186,2.09,1.2213952181742944,-999
2023-12-11,8.75,2.32,6.23,1530.0,0.883,1.73,0.8851810599405436,-999
2023-12-12,6.76,0.53,3.28,4530.0,0.063,2.38,0.7204212752413526,-999
2023-12-13,10.41,1.33,4.99,4490.0,0.496,3.52,0.8387937997361554,-999
2023-12-14,19.33,10.34,14.29,3690.0,3.508,3.39,1.5596075032898602,-999
2023-12-15,8.52,-1.63,3.93,1440.0,0.9189999999999999,1.98,0.6856950743382064,-999
2023-12-16,4.15,-3.13,-0.16,2860.0,0.142,1.39,0.48272507512150187,-999
2023-12-17,0.78,-5.45,-2.92,1260.0,0.159,2.7,0.41482226113361853,-999
2023-12-18,2.8,-5.55,-1.6,2530.0,0.025,1.05,0.4279411713809506,-999
2023-12-19,5.58,-3.6,0.33,6070.0,0.004,1.15,0.5112376024317117,-999
2023-12-20,7.18,-1.67,1.94,4870.0,0.024,0.87,0.5778309107030812,-999
2023-12-21,1.79,-4.8,-1.41,3050.0,0.08,1.78,0.46953232407554424,-999
2023-12-22,3.12,-5.77,-2.15,5320.0,0.002,1.53,0.43283188202411327,-999
2023-12-23,7.49,-3.85,1.26,10250.0,0.0,0.62,0.49403015140831447,-999
2023-12-24,9.22,-1.8,3.02,10340.0,0.0,1.16,0.5774078127011572,-999
2023-12-25,8.89,-0.56,3.37,9750.0,0.0,1.14,0.628355482997915,-999
2023-12-26,11.87,2.18,5.45,9310.0,0.001,1.26,0.6881608162300921,-999
2023-12-27,11.08,1.23,5.0,8300.0,0.003,1.62,0.7669577014285258,-999
2023-12-28,10.62,1.08,5.4,3000.0,0.028999999999999998,1.51,0.776247336757693,-999
2023-12-29,9.14,3.77,5.79,1260.0,0.422,0.79,0.8464716248601599,-999
2023-12-30,13.12,3.23,6.47,10120.0,0.016,1.98,0.8364437826178915,-999
2023-12-31,12.57,1.73,5.79,9840.0,1.268,2.21,0.7979350284338683,-999
2024-01-01,6.73,1.01,2.78,1480.0,2.692,1.18,0.6852028636223405,-999
